cid,smiles
753,C(C(CO)O)O
757,C(C(=O)O)O
769,C(=O)(O)[O-]
772,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O
773,C1=C(NC=N1)CC(C(=O)O)N
785,C1=CC(=CC=C1O)O
791,CCC(C)C(C(=O)O)N
795,C1=CN=CN1
798,C1=CC=C2C(=C1)C=CN2
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
807,II
854,C(C(C(C(C=O)O)O)O)O
857,CC(C)CC(C(=O)O)N
866,C(CCN)CC(C(=O)O)N
867,C(C(=O)O)C(=O)O
875,C(C(C(=O)O)O)(C(=O)O)O
876,CSCCC(C(=O)O)N
878,CS
880,CC(=O)C=O
887,CO
888,[Mg+2]
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
931,C1=CC=C2C=CC=CC2=C1
936,C1=CC(=CN=C1)C(=O)N
938,C1=CC(=CN=C1)C(=O)O
943,[N+](=O)([O-])[O-]
948,[N-]=[N+]=O
949,CN(C)C1=CC=CC=C1
957,CCCCCCCCO
964,C(C(=O)C(=O)O)O
978,C1=CC(=CC=C1C(=O)O)N
980,C1=CC(=CC=C1[N+](=O)[O-])O
984,CCCCCCCCCCCCCCCC=O
985,CCCCCCCCCCCCCCCC(=O)O
989,CC1(COC(=O)C1O)C
993,C(C1C(C(C(O1)O)O)O)O
994,C1=CC=C(C=C1)CC(C(=O)O)N
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
996,C1=CC=C(C=C1)O
997,C1=CC=C(C=C1)CC(=O)C(=O)O
998,C1=CC=C(C=C1)CC=O
999,C1=CC=C(C=C1)CC(=O)O
1001,C1=CC=C(C=C1)CCN
1003,OP(=O)(O)[O-]
1004,OP(=O)(O)O
1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O
1030,CC(CO)O
1031,CCCO
1032,CCC(=O)O
1045,C(CCN)CN
1046,C1=CN=C(C=N1)C(=O)N
1048,C1=CNN=C1
1049,C1=CC=NC=C1
1060,CC(=O)C(=O)O
1068,CSC
1091,O[Se](=O)O
1102,C(CCNCCCN)CN
1103,C(CCNCCCN)CNCCCN
1110,C(CC(=O)O)C(=O)O
1117,[O-]S(=O)(=O)[O-]
1119,O=S=O
1123,C(CS(=O)(=O)O)N
1127,C1CCSC1
1133,C(C(=O)O)S
1136,CC1=C(SC=N1)CCO
1140,CC1=CC=CC=C1
1145,C[N+](C)(C)[O-]
1146,CN(C)C
1150,C1=CC=C2C(=C1)C(=CN2)CCN
1153,C1=CC(=CC=C1CC(C(=O)O)N)O
1174,C1=CNC(=O)NC1=O
1176,C(=O)(N)N
1182,CC(C)C(C(=O)O)N
1183,COC1=C(C=CC(=C1)C=O)O
1213,CC1CCCC2(C1(CCCC2)O)C
1233,C1=C(ONC1=O)C(C(=O)O)N
1245,COC1=C(C=CC(=C1)C(C(=O)O)O)O
1254,CC1CCC(C(C1)O)C(C)C
1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
1317,C(CCCCCN)CCCCN
1344,C1CCN(C1)CCN
1491,C1=CC(=C(C=C1O)O)C(=O)O
1567,C(CS)O
1626,CCCCN(CCCC)CCCN
1639,C1=NNC(=N1)N
1833,COC1=CC2=C(C=C1)NC=C2CCN
1892,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO
1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
1983,CC(=O)NC1=CC=C(C=C1)O
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
2122,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
2141,C(CN)CNCCSP(=O)(O)O
2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
2148,C1=CC(=CC=C1C(=O)NCC(=O)O)N
2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N
2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
2194,COC1=CC=C(C=C1)C2=CC(=S)SS2
2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2
2214,CC(=O)C1=CC(=C(C=C1)O)OC
2244,CC(=O)OC1=CC=CC=C1C(=O)O
2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
2266,C(CCCC(=O)O)CCCC(=O)O
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
2310,CCC1(CC(=O)NC(=O)C1)C
2315,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
2337,CCOC(=O)C1=CC=C(C=C1)N
2343,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2346,C1=CC=C(C=C1)CN=C=S
2355,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
2446,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2448,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO
2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
2480,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N
2481,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
2482,CCCCOC(=O)C1=CC=C(C=C1)N
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2537,CC1(C2CCC1(C(=O)C2)C)C
2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O
2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2682,CCCCCCCCCCCCCCCCO
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
2713,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
2722,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
2724,C1=CC(=CC=C1OCC(COC(=O)N)O)Cl
2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
2733,C1=CC2=C(C=C1Cl)NC(=O)O2
2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N
2758,CC1(C2CCC(O1)(CC2)C)C
2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
2763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
2775,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC
2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
2794,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
2797,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
2879,CC1=CC=C(C=C1)O
2899,C1CCCC(CC1)N
2904,C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
2906,C1CCC(C1)N
2907,C1CNP(=O)(OC1)N(CCCl)CCCl
2942,CN(C)N=NC1=C(NC=N1)C(=O)N
2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
2969,CCCCCCCCCC(=O)O
2998,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
3051,CCOC(=O)OC(=O)OCC
3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
3080,C(C(CS)S)O
3081,CC1(C(=O)NC(=O)O1)C
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
3121,CCCC(CCC)C(=O)O
3132,C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O
3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
3168,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
3169,C1CN(CCN1CC(CO)O)C2=CC=CC=C2
3182,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
3242,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC
3276,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO
3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
3283,CCOCC
3291,CCC1(CC(=O)NC1=O)C
3292,CCN1C(=O)C(NC1=O)C2=CC=CC=C2
3293,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
3301,C(CN)N
3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
3314,COC1=C(C=CC(=C1)CC=C)O
3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
3325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
3326,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3
3327,CC(=CCCC(=CCCC(=CCO)C)C)C
3332,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O
3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
3335,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O
3338,CCCCC(C1=CC=CC=C1)O
3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
3357,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
3366,C1=NC(=O)NC(=C1F)N
3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F
3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O
3385,C1=C(C(=O)NC(=O)N1)F
3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
3396,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
3406,CC1=CNN=C1
3418,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O
3440,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
3446,C1CCC(CC1)(CC(=O)O)CN
3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
3470,CC1=CCCC(=CCC(CC1)C(=C)C)C
3475,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
3485,C(CC=O)CC=O
3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
3516,COC1=CC=CC=C1OCC(CO)O
3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
3561,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
3593,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
3606,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O
3607,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
3611,CC(C)C1=CC(=O)C(=CC=C1)O
3634,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O
3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
3647,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
3671,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C
3686,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
3690,C1CN(P(=O)(OC1)NCCCl)CCCl
3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N
3702,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
3718,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O
3724,CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
3730,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
3735,CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O
3736,CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I
3739,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I
3741,C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO
3742,CC(=O)N(C)C1=C(C(=C(C(=C1I)C(=O)NCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NCCO)I)I)C(=O)NC)I
3759,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
3760,C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
3767,C1=CN=CC=C1C(=O)NN
3776,CC(C)O
3784,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
3792,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC
3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
3828,CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC
3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
3883,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
3893,CCCCCCCCCCCC(=O)O
3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
3926,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
3931,CCCCCC=CCC=CCCCCCCCC(=O)O
3936,CN(C1=NC(=CC=C1)OC)C(=S)OC2=CC3=C(CCCC3)C=C2
3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
4059,CC1=CC=CC=C1OCC(CO)O
4060,CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
4075,C1=CC(=C(C=C1N)C(=O)O)O
4093,CC(=C)C(=O)O
4100,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
4101,C1N2CN3CN1CN(C2)C3
4107,COC1=CC=CC=C1OCC(COC(=O)N)O
4112,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
4133,COC(=O)C1=CC=CC=C1O
4165,CC1=CC2=C(C=C1S(=O)(=O)N)S(=O)(=O)CCC2
4170,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
4173,CC1=NC=C(N1CCO)[N+](=O)[O-]
4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
4236,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
4238,CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-]
4266,C1=C(ONC1=O)CN
4276,COC1=CC(=CC2=C1OCO2)CC=C
4284,CCN(CC)C(=O)C1=CC=CC(=C1)C
4409,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
4410,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O
4453,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O
4458,CC(=CCCC(=CCO)C)C
4472,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2
4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
4487,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3
4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F
4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
4494,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C
4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
4567,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
4610,C1CCC(C(C1)N)N
4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3
4621,CC(C)(CC1=CC=CC=C1)N(C)C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC2=CC=CC=C2
4622,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
4628,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O
4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
4649,C1=CC(=C(C=C1N)O)C(=O)O
4650,C1=CC(=O)C=CC1=O
4657,COC1=CC=C(C=C1)CCN
4685,C1=CC(=CC=C1Cl)Cl
4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
